Study,Title,Study_nr,PMID,Country studied,Language,Patient Group,Study_type,"Adulteonatal,_pediatric,_pregnant",Study_Population,Total_number_of_patients,"Age [years], median [iqr] or mean (sd)",Male,Female,imaging_reported,pathologic_findings,Pneumonia,GGO,Bilateral_pneumonia,Unilateral_pneumonia,Consolidation,GGO_with_consolidation,Local_patchy_shadowing,Bilateral_patchy_shadowing,Nodular_lesions,Air_bronchogram,Pleural_effusion,Reticulation/thickened_interlobular_septa,Interstitial_abnormalities,Crazy_paving_pattern,Subpleural_opacities,Bilateral_pulmonary_infiltration,Bronchiectasis,Thickened_pleura,Stripe_,Thickened_intralobular_septa,Vascular_thickening_,Bulla,Peribronchial_thickening,Focal_consolidation,Pulmonary_edema,Venous_congestion,Atelectasis
"Chan et al, 2020",A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster.,S6_adult,31986261,China,English,COVID-19,Case Series,Adult,Adult,5,50 [36.25-64.50],2,3,Yes,5,5,5,,,,,5,,,,,,,,,,,,,,,,,,,,
"Huang et al, 2020","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",S43,31986264,China,English,COVID-19,Cohort Study,Adult,Adult,41,49 [41-58],30,11,Yes,40,40,,40,,,,,,,,,,,,,,,,,,,,,,,,
Ren et al. 2020,Identification of a novel coronavirus causing severe pneumonia in human - a descriptive study,S67,32004165,China,English,COVID-19,Case Series,Adult,Adult,5,52 [49-61],3,2,Yes,5,5,5,5,,4,,,,,,,,,,,,,,,,,,,,,,
"Holshue et al, 2020",First Case of 2019 Novel Coronavirus in the United States,S38,32004227,USA,English,COVID-19,Case Study,Adult,Adult,1,35,1,0,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020","Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study.",S11,32007143,China,English,COVID-19,Cohort Study,Adult,Adult,99,55.5 (13.1),67,32,Yes,99,99,14,74,25,,,,,,,,,,,,,,,,,,,,,,,
"Song et al, 2020",Emerging 2019 Novel Coronavirus (2019-nCoV) Pneumonia,S74,32027573,China,English,COVID-19,Cohort Study,Adult,Adult,51,49 (16),25,26,Yes,51,51,39,44,7,28,30,,,,,,,,,,,,,,,,,,,,,
"Fang et al, 2020",CT Manifestations of Two Cases of 2019 Novel Coronavirus (2019-nCoV) Pneumonia,S26,32031481,China,English,COVID-19,Case Series,Adult,Adult,2,38.5 [35.25-41.75],1,1,Yes,2,2,,,,2,,,,,,,,,,,,2,2,,,,,,,,,
"Chang et al, 2020","Epidemiologic and Clinical Characteristics of Novel Coronavirus Infections Involving 13 Patients Outside Wuhan, China.",S7,32031568,China,English,COVID-19,Cohort Study,Adult,Adult,13,34 [34-48],10,3,Yes,8,8,6,,,4,,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020","Clinical Characteristics of 138 Hospitalized Patients with 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",S86,32031570,China,English,COVID-19,Cohort Study,Adult,Adult,138,56 [42 - 68],75,63,Yes,138,138,138,,,,,, ,,,,,,,,,,,,,,,,,,,
Shi et al. 2020,"Evolution of CT Manifestations in a Patient Recovered from 2019 Novel Coronavirus (2019-nCoV) Pneumonia in Wuhan, China",S71,32032497,China,English,COVID-19,Case Study,Adult,Adult,1,42,1,0,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020",Clinical characteristics and therapeutic procedure for four cases with 2019 novel coronavirus pneumonia receiving combined Chinese and Western medicine treatment.,S85,32037389,China,English,COVID-19,Case Series,Adult,Adult,4,47.5 [28.75-63],3,1,Yes,4,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020",Clinical characteristics of novel coronavirus cases in tertiary hospitals in Hubei Province.,S59,32044814,China,English,COVID-19,Cohort Study,Adult,Adult,137,57 [range 20-83],61,76,Yes,116,116,55,116,,25,,,36,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020","Clinical and biochemical indexes from 2019-nCoV infected patients linked to viral loads and lung injury.""",S58_adult,32048163,China,English,COVID-19,Case Series,Adult,Adult,11,63 [53.5-65],8,4,Yes,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
"Huang et al, 2020",Use of Chest CT in Combination with Negative RT-PCR Assay for the 2019 Novel Coronavirus but High Clinical Suspicion,S44,32049600,China,English,COVID-19,Case Study,Adult,Adult,1,36,1,0,Yes,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Duan and Qin 2020,Pre- and Posttreatment Chest CT Findings - 2019 Novel Coronavirus (2019-nCoV) Pneumonia,S22,32049602,China,English,COVID-19,Case Study,Adult,Adult,1,46,0,1,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Pan et al, 2020","Initial CT findings and temporal changes in patients with the novel coronavirus pneumonia (2019-nCoV): a study of 63 patients in Wuhan, China.",S62,32055945,China,English,COVID-19,Cohort Study,Adult,Adult,63, 44.9 (15.2),33,30,Yes,63,63,14,,,,,,12,8,,,,,,,,,,11,,,,,,,,
"Lin et al, 2020",Novel coronavirus pneumonia outbreak in 2019: Computed tomographic findings in two cases,S53,32056397,China,English,COVID-19,Case Series,Adult,Adult,2,37 [36-38],2,0,Yes,2,2,1,2,,,1,,,,,,,,,,,,,,,,,,,,,
"Silverstein et al, 2020","First imported case of 2019 novel coronavirus in Canada, presenting as mild pneumonia",S72,32061312,Canada,English,COVID-19,Case Study,Adult,Adult,1,56,1,0,Yes,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020",Clinical characteristics of 30 medical workers infected with new coronavirus pneumonia,S56,32062957,China ,Chinese ,COVID-19,Cohort Study,Adult,Adult,30,35 [21-59],10,20,Yes,30,30,,19,11,,,,,,,,,,,,,,,,,,,,,,,
"Bai et al, 2020",Analysis of the first cluster of cases in a family of novel coronavirus pneumonia in Gansu Province,S5,32064855,China,Chinese,COVID-19,Case Series,Adult,Adult,7,53.4,3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yu et al, 2020",A Familial Cluster of Infection Associated With the 2019 Novel Coronavirus Indicating Possible Person-to-Person Transmission During the Incubation Period,S106,32067043,China,English,COVID-19,Case Series,Adult,Adult,4,72 [68-78.25],2,2,Yes,2,2,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,
"Stoecklin et al, 2020","First cases of coronavirus disease 2019 (COVID-19) in France: surveillance, investigations and control measures, January 2020",S76,32070465,France,English,COVID-19,Case Series,Adult,Adult,3,31 [30.5-39.5],2,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Han et al, 2020",The course of clinical diagnosis and treatment of a case infected with coronavirus disease 2019,S34,32073161,China,English,COVID-19,Case Study,Adult,Adult,1,47,1,0,Yes,1,1,1,,,,,,1,,1,,,,,,,,1,,,,,,,,,
"Tang et al, 2020",Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia,S79,32073213,China,English,COVID-19,Cohort Study,Adult,Adult,183,54.1 (16.2),98,85,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al, 2020",Changes of CT findings in a 2019 novel coronavirus (2019-nCoV) pneumonia patient,S24,32073631,China,English,COVID-19,Case Study,Adult,Adult,1,47,1,0,Yes,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Xu et al. 2020,"Clinical findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series",S97,32075786,China,English,COVID-19,Cohort Study,Adult,Adult,62,41 [32-52],35,27,Yes,61,61,,52,9,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al, 2020","Clinical characteristics of 140 patients infected with SARS-CoV-2 in Wuhan, China",S110,32077115,China,English,COVID-19,Cohort Study,Adult,Adult,140,57 [range 25-87],71,69,Yes,134,134,,121,13,,,,,,,,,,,,,,,,,,,,,,,
"Xu et al, 2020",Pathological findings of COVID-19 associated with acute respiratory distress syndrome,S96,32085846,China,English,COVID-19,Case Study,Adult,Adult,1,50,1,0,Yes,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Van Cuong et al, 2020",The first Vietnamese case of COVID-19 acquired from China.,S83,32085849,Vietnam,English,COVID-19,Case Study,Adult,Adult,1,25,0,1,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Li et al, 2020",Comparison of the clinical characteristics between RNA positive and negative patients clinically diagnosed with 2019 novel coronavirus pneumonia,S51,32087623,China ,Chinese,COVID-19,Cohort Study,Adult,Adult,31,54,15,16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tong et al, 2020","Potential Presymptomatic Transmission of SARS-CoV-2, Zhejiang Province, China, 2020.",S82,32091386,China,English,COVID-19,Case Series,Adult,Adult,6,23.00 [15.00-41.75],3,3,Yes,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
"Hao, 2020",Clinical features of atypical 2019 novel coronavirus pneumonia with an initially negative RT-PCR assay ,S35,32092387,China,English,COVID-19,Case Study,Adult,Adult,1,58,1,0,Yes,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
"Yoon et al, 2020",Chest Radiographic and CT Findings of the 2019 Novel Coronavirus Disease (COVID-19): Analysis of Nine Patients Treated in Korea,S104,32100485,South Korea,English,COVID-19,Cohort Study,Adult,Adult,9,"median: 54, no IRQ or range reported ",4,5,Yes,9,9,2,,,8,,,,1,,,,,,,,,,,,,,,,,,
"Ai et al, 2020",Correlation of Chest CT and RT-PCR Testing in Coronavirus Disease 2019 (COVID-19) in China: A Report of 1014 Cases,S1,32101510,China,English,COVID-19,Cohort Study,Adult,Adult,1014,51 (15),467,547,Yes,888,888,409,,,447,,,,24,,,8,,,,,,,,,,,,,,,
"Yang et al, 2020","Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study",S100,32105632,China,English,COVID-19,Cohort Study,Adult,Adult,52,59.7 (13.3),35,17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi et al, 2020","Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",S70,32105637,China,English,COVID-19,Cohort Study,Adult,Adult,81,49.5 (11) ,42,39,Yes,81,81,53,64,17,14,,,,5,,,3,,,,,,,,,,,,,,,
"Xu et al, 2020",Imaging and clinical features of patients with 2019 novel coronavirus SARS-CoV-2,S95,32107577,China,English,COVID-19,Cohort Study,Adult,Adult,90,50 (range 18-86),39,51,Yes,69,69,65,,,12,,,,,,4,,,11,,,,50,,,,,,,,,
"Guan et al, 2020",Clinical Characteristics of Coronavirus Disease 2019 in China,S30,32109013,China,English,COVID-19,Cohort Study,Adult,Adult,1099,47 [35-58],639,460,Yes,840,840,550,,,,,409,505,,,,,143,,,,,,,,,,,,,,
"Wu et al, 2020",Clinical Characteristics of Imported Cases of COVID-19 in Jiangsu Province: A Multicenter Descriptive Study,S90,32109279,China,English,COVID-19,Cohort Study,Adult,Adult,80,46.1(15.42),39,41,Yes,55,55,,36,19,,,,,,,,,,,,,,,,,,,,,,,
"Xu et al, 2020",Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,S94,32109443,China,English,COVID-19,Cohort Study,Adult,Adult,50,43.9 (16.8),29,21,Yes,41,41,30,,,15,25,,,,22,4,33,,,,,,,,30,,,,,,,
"Yang et al, 2020","Clinical characteristics and imaging manifestations of the 2019 novel coronavirus disease (COVID-19):A multi-center study in Wenzhou city, Zhejiang, China",S99,32112884,China,English,COVID-19,Cohort Study,Adult,Adult,149,45.11 (13.35),81,68,Yes,132,132,,,,,,,,,81,10,,,,31,,26,,,,,,,,,,
"Tian et al, 2020",Characteristics of COVID-19 infection in Beijing,S80,32112886,China,English,COVID-19,Cohort Study,Adult,Adult,262,47.5 [range: 1-94],127,135,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albarello et al, 2020",2019-novel Coronavirus severe adult respiratory distress syndrome in two cases in Italy: An uncommon radiological presentation.,S2,32112966,Italy,English,COVID-19,Case Series,Adult,Adult,2,66.5 [66.25- 66.75],1,1,Yes,2,2,2,2,,,1,,,,,,,1,2,,,,,,,,,,,,,
"Cheng et al, 2020",First case of Coronavirus Disease 2019 (COVID-19) pneumonia in Taiwan.,S15,32113824,Taiwan,English,COVID-19,Case Study,Adult,Adult,1,55,0,1,Yes,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,,
"Huang et al, 2020","Clinical characteristics of laboratory confirmed positive cases of SARS-CoV2 infection in Wuhan, China: A retrospective single center analysis",S42,32114074,China,English,COVID-19,Cohort Study,Adult,Adult,34,56.24 (17.14),14,20,Yes,30,30,,27,3,,,3,,,,,,,,,27,,,,,,,,,,,
"Tian et al, 2020",Pulmonary Pathology of Early-Phase 2019 Novel Coronavirus (COVID-19) Pneumonia in Two Patients With Lung Cancer,S81_case1,32114094,China,English,COVID-19,Case Study,Adult,Adult,1,73,1,0,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Tian et al, 2020",Pulmonary Pathology of Early-Phase 2019 Novel Coronavirus (COVID-19) Pneumonia in Two Patients With Lung Cancer,S81_case2,32114094,China,English,COVID-19,Case Study,Adult,Adult,1,84,0,1,Yes,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,
"Xie et al, 2020",Comparison of different samples for 2019 novel coronavirus detection by nucleic acid amplification tests.,S92,32114193,China,English,COVID-19,Case Series,Adult,Adult,9,34 [26-45],4,5,Yes,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
"Li et al, 2020",Characteristics of peripheral blood leukocyte differential counts in patients with COVID-19,S49,32114745,China,Chinese,COVID-19,Cohort Study,Adult,Adult,10,46.5 [36.5- 64.3],5,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng et al, 2020",Epidemiological characteristics of novel coronavirus pneumonia in Henan,S13,32118390,China,Chinese,COVID-19,Cohort Study,Adult,Adult,1079,46 [IQR: 24],573,506,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020",Analysis of factors associated with disease outcomes in hospitalized patients with 2019 novel coronavirus disease.,S57,32118640,China,English,COVID-19,Cohort Study,Adult,Adult,78,38 [33-57],39,39,Yes,68,68,13,45,23,,,,,,,,,,,,,,,,,,,,,,,
"Peng et al, 2020",Clinical characteristics and outcomes of 112 cardiovascular disease patients infected by 2019-nVoC,S63_severe,32120458,China,Chinese,COVID-19,Cohort Study,Adult (severe),Adult,16,"57.5 [54, 63]",9,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peng et al, 2020",Clinical characteristics and outcomes of 112 cardiovascular disease patients infected by 2019-nVoC,S63_nonsevere,32120458,China,Chinese,COVID-19,Cohort Study,Adult (non-severe),Adult,96,"62 [55, 67.5]",44,52,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Young et al, 2020",Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,S105,32125362,Singapore,English,COVID-19,Cohort Study,Adult,Adult,18,47 [31-71],9,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhu et al, 2020",Comparison of heart failure and 2019 novel coronavirus pneumonia in chest CT features and clinical characteristics,S116,32129583,China,Chinese,COVID-19,Cohort Study,Adult,Adult,12,52 [32-73],8,4,Yes,?,?,11, , ,,,,,,,,,,,,,,,,,,,,,,,
"Dai et al, 2020",CT Imaging and Differential Diagnosis of COVID-19,S17,32129670,China,English,COVID-19,Case Series,Adult,Adult,4,50 [47.75-55.125],4,0,Yes,4,4,3,,,1,,1,,,1,,2,,2,,,,,,,,,,,,,
"Xiong et al, 2020",Clinical and High-Resolution CT Features of the COVID-19 Infection: Comparison of the Initial and Follow-up Changes.,S93,32134800,China,English,COVID-19,Cohort Study,Adult,Adult,42,49.5 (14.1),25,17,Yes,42,42,,,,23,,,,,14,5,,17,,,,,,15,,,,,,,,
"Yao et al, 2020","Epidemiological characteristics of 2019-ncoV infections in Shaanxi, China by February 8, 2020",S102,32139462,China,English,COVID-19,Cohort Study,Adult,Adult,195,44.13(15.8),129,66,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al, 2020","High-resolution CT features of 17 cases of Corona Virus Disease 2019 in Sichuan province, China",S112,32139463,China,English,COVID-19,Cohort Study,Adult,Adult,17,48.6 [range 23-74],8,9,Yes,17,17,12,14,3,,5,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020","The clinical dynamics of 18 cases of COVID-19 outside of Wuhan, China",S89,32139464,China,English,COVID-19,Cohort Study,Adult,Adult,18,39 [ 29-55],10,8,Yes,15,15,15,11,4,,7,,,,,,,,,,,,,,,,,,,,,
"Song et al, 2020",SARS-CoV-2 induced diarrhoea as onset symptom in patient with COVID-19.,S73,32139552,China,English,COVID-19,Case Study,Adult,Adult,1,22,1,0,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19,S9_severe,32141280,China,Chinese,COVID-19,Cohort Study,Adult (severe),Adult,24,68.5 (13.6),18,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",Analysis of myocardial injury in patients with COVID-19 and association between concomitant cardiovascular diseases and severity of COVID-19,S9_nonsevere,32141280,China,Chinese,COVID-19,Cohort Study,Adult (non-severe),Adult,126,57.1 (15.6),66,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhu et al. 2020,Clinical and CT imaging features of 2019 novel coronavirus disease (COVID-19),S117,32142928,China,English,COVID-19,Case Series,Adult,Adult,6,43 [32-56],0,6,Yes,6,6,4,,,0,2,,,2,,,1,,1,,,,,,,,,,,,,
"Xiang et al, 2020",Biological characters analysis of COVID-19 patient accompanied with aplastic anemia,S91,32145715,China,Chinese,COVID-19,Case Study,Adult,Adult,1,48,1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hu et al, 2020","Clinical characteristics of 24 asymptomatic infections with COVID19 screened among close contacts in Nanjing, China",S40,32146694,China,English,COVID-19,Cohort Study,Adult,Adult,24,32.5 [19.0 - 57.0],8,16,Yes,17,12,12,,,,,,12,,,,,,,,,,,5,,,,,,,,
"COVID-19 National Emergency Response Center, Epidemiology and Case Management Team,
Korea Centers for Disease Control and Prevention, Cheongju, Korea et al. 2020",Early Epidemiological and Clinical Characteristics of 28 Cases of Coronavirus Disease in South Korea,S16,32149037,Korea,English,COVID-19,Cohort Study,Adult,Adult,28,42.6 (range 20-73),15,13,Yes,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guan et al, 2020",Epidemiological investigation of a family clustering of COVID-19,S29,32149484,China,Chinese,COVID-19,Case Series,Adult,Adult,7,53.43,3,4,Yes,2,2,,2,,,,1,1,1,,,,,,,,,,,,,,,,,,
"Ruan et al, 2020",A case of 2019 novel coronavirus infected pneumonia with twice negative 2019-nCoV nucleic acid testing within 8 days,S68,32149771,China,English,COVID-19,Case Study,Adult,Adult,1,47,0,1,Yes,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Yao et al, 2020",Clinical characteristics and influencing factors of patients with novel coronavirus pneumonia combined with liver injury in Shaanxi region,S101,32153170,China,Chinese,COVID-19,Cohort Study,Adult,Adult,40,53.87 (15.84),25,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spiteri et al, 2020","First cases of coronavirus disease 2019 (COVID-19) in the WHO European Region, 24 January to 21 February 2020",S75,32156327,Europe,English,COVID-19,Cohort Study,Adult,Adult,38,42 [range 2-81],25,13,No,c,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An et al, 2020",CT Manifestations of Novel Coronavirus Pneumonia: A Case Report.,S3,32157862,China,English,COVID-19,Case Study,Adult,Adult,1,50,0,1,Yes,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
"Li et al, 2020",Comparison of epidemic characteristics between SARS in 2003 and COVID-19 in 2020 in Guangzhou,S50,32159317,China,Chinese,COVID-19,Cohort Study,Adult,Adult,346,48 [range 3months- 90 yrs],167,179,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhao et al, 2020",A comparative study on the clinical features of COVID-19 pneumonia to other pneumonias,S114,32161968,China,English,COVID-19,Cohort Study,Adult,Adult,19,48 [27-56],11,8,Yes,19,19,17,15,4,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",Analysis of clinical features of 29 patients with 2019 novel coronavirus pneumonia,S8,32164089,China,Chinese,COVID-19,Cohort Study,Adult,Adult,29,56 (range 26-79),21,8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al, 2020",Clinical features of 2019 novel coronavirus pneumonia in the early stage from a fever clinic in Beijing,S109,32164091,China,Chinese,COVID-19,Cohort Study,Adult,Adult,9,36 [15-49],5,4,Yes,7,7,5,5,2,,7,3,,,,,,,,,,,,,,,,,,,,
"Dong et al, 2020",Epidemiological characteristics of confirmed COVID-19 cases in Tianjin,S21,32164400,China,English,COVID-19,Cohort Study,Adult,Adult,135,48.62 (16.83),72,63,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhou et al, 2020","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",S115,32171076,China,English,COVID-19,Cohort Study,Adult,Adult,191,56 [46.0-67.0],119,72,Yes,,143,136,,,112,,,,,,,,,,,143,,,,,,,,,,,
"He et al, 2020",Impact of complicated myocardial injury on the clinical outcome of severe or critically ill COVID-19 patients,S36,32171190,China,Chinese,COVID-19,Cohort Study,Adult,Adult,54,"68 [59.8, 74.3]",34,20,Yes,54,?,,,,,,,,,,,,,,,,,,,,,,,,,,
